Agent,layout,depth,average score,average turn time
ReflexAgent,minimaxClassic,2,227.14285714285714,0.00029231088335404974
ReflexAgent,trappedClassic,2,-502.85714285714283,0.0002798444062835581
ReflexAgent,testClassic,2,560.5714285714286,0.00037300871377762433
ReflexAgent,smallClassic,2,356.7142857142857,0.0007826147057491702
ReflexAgent,originalClassic,2,890.4285714285714,0.0026114001886231746
ReflexAgent,openClassic,2,1421.142857142857,0.0012263791254591425
ReflexAgent,mediumClassic,2,466.42857142857144,0.0007389699505228574
ReflexAgent,contestClassic,2,972.5714285714286,0.0007411320015189511
ReflexAgent,trickyClassic,2,94.85714285714286,0.0016327215315540507
ReflexAgent,capsuleClassic,2,-285.85714285714283,0.00040469265749189015
